Anastassiou_GA	21310590
Hammond_KG	19175919,19374756,19656409,20706156,20815907,22362088,24090077,24090077,24090077,24149748
Hochstein_JI	20857320
Homayouni_R	10571240,10460257,10801432,11716507,12877983,15131130,15308538,15917516,16260146,16517601,16783639,16824496,17175356,17905926,18500935,18715197,21193550,21533142,21570130,22165960,22916119,23282414,23326475,23544116,24523945,24523945,24523945,24523945,24307139,24307139,24747564,24307139,24747564,24307139
Hsueh_Y	12096759,15022668,17302355
Hu_X	8872900,10633986,10495804,15272087,15354689,16494500
Huang_X	12573572,21232787,21571150,21606305,22806589,23360450,23360450,23763633,23763633
Hyland_SE	10119071
Iftekharuddin_KM	13678357,16051042,20357846,21216716,21571610
Irwin_CC	19651995,20591098,21910272
Jackson_GT	15354683,21635287
Jahan_MS	1655797,7633386,18465824,24372056,24372056
James_RK	10182421
Jarmulowicz_LD	12081392
Jennings_JA	19904740,19784662,20091922,22585351,22997172,23604649,23128039,23564543,23564543,23128039
Jia_C	20717549,20579132,22285084,21995872,23208297,24350553,21995872,24350553,21995872
Jones_LL	21553332,22487722
Kahane_JC	2396812,16223575,18488884,24440058,24440058
Kennedy_ML	8999000,15074608,15521425
King_D	23201271
Kitzmann_KM	10645740,12699028,16475666,16756393,17520455,20063940,20224488,21309377,22261216
Kozma_R	12946201,15011280,15940987,15920663,19003514,18541494,18850928,19045505,19375277,19395236,20370038,20374923,20452297,22438713,22386785,23506947,23548329,20370038,24465287,23506947,24465287,23548329
Kreuz_RJ	9628746,21752357
Kumar_S	19597595,22893700,23632206,23867031,23737530,24078857,23805066,23955390,24451403,24078857,24466368,23955390,23737530,23737530,24466368,23737530,23737530,23737530,23737530,23737530,23737530,24451403,23737530,23737530,23737530,23737530,23737530,23737530,24528264,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23737530,23805066,24528264,23955390,23955390,23955390,23955390,23955390,24929605
Landis_RS	24263549,24263549,24263549
Laradji_M	15260708,15267870,15549947,15600888,16375505,16711778,17286503,17411159,17614586,18205524,18266459,20095710,22181443,23534606
Larsen_D	19601428
Lease_SH	18689197
Lee_ET	21869062
Lee_ST	22416544
Lennon-Dearing_R	23094613
Lessman_CA	1511729,8095443,8118412,8082985,7498451,9223249,9440235,11550276,12568348,15602881,16998847,17293149,18243062,19027744,21111223,21932435,23351173
Levy_MC	20502356
Lewis_G	1920103,1803330,1520827,8419628,10148345,8193568,8000290,7820238,7841291,7881333,8580537,7655320,7670208,10155683,10155682,8727501,8761521,8986356,8986357,9086418,9178743,9262828,9262833,9283967,9408575,9429999,9457382,9447513,9656922,9678858,9690838,9713682,9730062,9830992,10081590,10081592,10674174,10847969,9916773,10331907,10349287,10634961,10682734,10721746,10950202,11074435,11108214,11202145,11205441,11564901,11870653,12122238,12186736,12209888,12446945,12419630,12504534,12615483,12652024,12775904,12808608,12853262,12861599,14568431,14643616,14741608,14757951,14757952,15046933,15156111,15241148,15368230,15683656,15786447,16179755,16088898,16196037,16443619,16446596,16470815,16929440,17075167,17075171,17264384,17377218,17400099,17022057,17034013,17041926,17133450,17483892,17245745,17512808,17588247,18408259,18240274,18395829,18437712,20740458,18823020,19489013,20799168,19878906,19655232,19946736,20195806,20211575,20857320,21263181,21337311,21504058,22071983,22566484,23529635,23851927,24072371,24046084,24046084,23851927,24072371
Li_Y	8063411,7666082,8876343,9293545,9816097,9241084,9256121,9308134,9815701,9885063,10216862,10881620,11239008,11431691,11710663,12081277,12083779,12083780,12163014,12216758,15582151,17037668,17530944,17530979,17597497,17452975,17914460,18978618,19255421,19276078,19633665,19878906,20213011,20195806,20211575,21263181,21337311,21241819,21245407,21819244,22185058,22255206,22155630,21664060,22287236,22898373,23014531,23079152,23357075,23474114,23583981,22287236,23014531,23079152,23583981,23673874,23903538,24023061,24205299,23903538,23357075,24205299,24205299,23583981,22287236,23583981,22287236,23583981,24269800,17914460,22287236,23583981,24269800,22287236,23583981,22287236,23583981,22287236,23583981,22287236,23583981,22287236,23583981,24023061,24553141,24553141,22287236,23583981,24023061,22287236,23583981,24023061,22287236,23583981,24023061,22287236,23583981,24023061,22287236,23583981,24023061,22287236,23583981,24023061,22287236,23583981,24023061,22287236,23583981,24023061,22287236,23583981,24023061,22287236,23583981,24023061,24553141,24553141,22287236,23583981,24023061,22287236,23583981,24023061,22287236,23583981,24023061,22287236,23583981,24023061,24269800,24553141,24553141,24023061,24703847,24023061,23673874,24705251,24703847,24784377,24626721,23357075,24832453,23357075,24703847,24832453,24793032,24269800,24553141,24553141,24793032,24269800,24705251,23474114,23474114,24705251,24784377,24553141,24553141,24553141,24553141,24626721,24705251,24705251,24705251
Li_YS	8525495,8625950,18966921,10910993,11058051,11145329,11209863,18968805,12736065,15036105,15350910,15820902,16165048,16529989,17029940,17157552,17631042,18060831,18722154,19110464,19464230,20452273,22925916,23314214,24673902
Lightsey_OR	24524434,24524434,24524434,24524434
Lindner_E	21662874,10815946,11219738,11293706,11605836,11913867,12199575,17279784,18371638,18217742,19117449,19209342,19459602,19459603,19925010,20162156,20449577,21907022,22384926,22900668,22997172,23327940,23327940
Liu_AC	22692217,23052244,24699442,24699442,24737000,24737000,24737000,24699442
Louwerse_MM	15354683,15354684,18792513,21585463,19818435,21564257,22984793,23033971
Magun-Jackson_S	15152847
Malasri_K	20058488,22454585,20110207
Manning_WH	2779213,1571581,9519388,15769496,21080293
Marchetta_JG	23077496
Maziak_W	15804687,17553700,17943865,18058352,18154601,18236217,18324571,18778388,19091776,19420278,19662333,19833991,20348109,20888700,21185126,21168300,22251765,23210001,22140149,22882805,24629480,24629480
McClanahan_BS	11402253,11749100,12137176,12423190,14985686,15118194,19366790,19922056,21041593,21924381
McDevitt-Murphy_ME	20104586,20533646,21198220,21198224,22370431,21864834,22808885,22809894,23261489,23707832,22809894,22809894,22809894,23707832,22809894,21864834,23261489,21864834,23261489
McNamara_DS	14979818,15354684,15354687,21702827,17695347,18697660,19001391,19587179,20236240,20702866,21287126
Mendel_LL	8216473,14756234,14964327,18056880,18821223,19418708,21812631
Menifield_CE	15962916,18717205,19209565
Mishra_SR	11853259,14503406,14613218,15685611,16430143,16430144,17034013,21133120,22806589,22962754,23761262,24245119,23761262,23763633,23761262,23761262,23763633
Mitchell_CO	8110107,9022525,20502356
Mittleman_G	1498829,8102851,8415946,8415947,8248385,7870913,7965779,8619004,8883818,8919008,9079779,9588683,10512580,11087960,12824812,14574231,14622233,15064920,16737467,17127134,17438141,18435424,18599253,18625330,20566377,21106823,21354763,21212937,21638338,23717269,18435424,21638338,23436049,23912914,21638338,22978678,18435424,23912914,22978678,24361287,24361287,23436049,24361287,10512580,21212937,24307139,24307139,23717269,23912914,22978678,22978678,22978678,24307139,24361287,24307139
Murlasits_Z	22643135
Mzayek_F	17553700,19429574,22251765,22140149,23967276,23967276
Nakazato_T	21622430,21613087,22711557,23652565,24152303,23652565,24152303,24152303
Neely-Barnes_S	18271608,18426257,22106547
Neimeyer_RA	2200072,10115708,10122685,8473576,10133100,8535385,10169714,10182421,11503667,11503671,11326770,11641878,11725416,15129688,15802260,15965935,16594456,16610156,16972369,17115431,17484697,18680886,18680889,18729566,18698614,18608311,20533646,22322690,24479182,24482851,24482851,24482851,24501835,24501842,24501858,24524587,24524589,24524590,24479182,24482851,24563928,24520890,24520890,24520890,24517523,24520890,24520890,24520890,24520890,24520890,24520890,24520890,24520890,24501835,24501842,24501858,24563928,24517523,24524587,24524589,24524590,24738824
Nolan_VG	20564409,21370418,21376314,21621662,22184380,22669471,23940101,23940101,23940101,23940101,23940101,21621662,22669471,22669471,22669471,22669471
Okwumabua_TM	24258927
Oller_DK	17197504,17882695,17509829,20370038,20643944,22363421,23550164,17882695,17509829,20370038,23550164
Ourth_DD	3678558,2916996,2286064,8395989,8116220,8166704,8607795,8617274,10327605,10651803,10818267,12031477,14516780,14516781,14672693,15207720,15351237,16111657,17950622,18937980,19552965,20362634,21741202
Ozdenerol_E	16076402,17164825,18373868,24284356,24284356,24284356,24284356
Parra_GR	16111833,16836476,17428616,19778753,20099939,20188297,20303635,19966315,23983087,24277769,24277770,20099939,24277769,24277770,23983087
Parris_MJ	15235903,18709388,20135192,20413792,20557202,21949824,22038058,22228138,22912890,23671564,24068468,23671564,24259231,24068468,24259231,24068468,24632489,24259231
Perry_EH	2330232,2196354,2213390
Petersen_RL	11939773
Pezeshki_SR	15092943,11291454,14565695,15523563,16542750,24832223,24832223
Pichon_LC	23718961,24350205,24350205,24350205,24350205
Pinkhassik_E	18353645,18677728,18781782,18803206,19225653,20162156,20030340,20820521,21541422,22073931,22384926,24096032,24096032
Preza_C	22109208,23515865
Qi_G	10906686,10951363,12186736,12487709,12763441,15478141,16088898,19946736,20857320,22071983
Ramanathan_C	23052244,24699442,24699442,24737000,24737000,24737000,24699442
Relyea_GE	7866467,11317146,11834110,15574080,16649874,17037668,21041593,21420791,21995872,22542293,21995872,21995872,23494245,23494245,23494245,24805885,7866467,23494245
Richardson_S	7633844,8640174,8845391,11877664,12028035,14663279
Roach_RR	1452959
Roan_E	18487359,20887022,21052853,21873445,22357948,23728969,24289040,24289040,24289040,24586773,24586773,24289040,24289040,24586773
Robinson_LA	2200072,9256567,9291216,9386994,9468748,9776004,10093167,11817912,11875175,11927240,12188589,12234646,12243134,12507532,12628622,12649054,12959793,14645937,16766422,17116517,18056143,20154054,20484215,21576307,22275324
Rosenthal_DA	18311327
Ryan_TD	19651995,21910272
Sable_HJ	19344642,20933596,23912914,23912914,23912914
Sabri_F	22448239,23077496,23251378,23799093,23799093
Schilling_BK	12423184,14636100,14666943,15903361,16440505,16700404,16888457,16939158,16888042,17194241,17530944,17530979,17915021,18076276,18614956,18978618,24149464,19175919,19374756,19568030,19656409,19691834,19915509,19560392,20048485,20459623,20508464,20706156,20976096,22080324,22220922,22228173,21921823,22525774,23198525,22362088,23882146,22643135,24090077,24090077,24090077,24149464,23860285,23942165,23860285,23942165,24149748
Schoech_SJ	12647137,15555498,17152932,17498715,17647272,17624348,18604561,18756528,18938168,21665835,19595691,19879277,20164081,21328560,21291887,21295036,21827761,22902378,23970442,24096038,24096038,23970442
Sharma_A	11023662
Simco_BA	2354764,1505724,1391325,17950622
Simmons_CA	8335880,20069936,19875673,22071094
Simone_PS	17723407,19854344,19932810,23225994
Singh_WM	21999861,22095876,22539227
Skalli_O	23251378,23791210
Smith_TL	9726195,10488296,11762746,15175597
Speros_CI	21791267
Stevens_SE	16348455,1554423,1622235,8524070,8525495,8625950,8663513,9383558,9450315,17483165
Strong_GD	22273451
Sutter_CH	12424897,12516961,16371450,16460856,18256205,18416522,19126641,19255421,20110207,20819910,20971184,21835898,22395315,23152189,18416522,18416522,12424897,18256205,23152189,23152189,23152189,24451036,24451036,18416522,24451036,24451036,24451036
